raion_code,raion,year,avg_wage_agriculture,avg_wage_education,avg_wage_industry,avg_wage_public_admin,avg_wage_total,birth_rate,death_rate,divorce_rate,gross_payroll_total,housing_livable_area_thsd_m2,housing_total_area_thsd_m2,housing_units_thsd,industrial_output_mil_lei,industrial_share_of_total_pct,infant_mortality_rate,marriage_rate,natural_increase_rate
01,Mun. Chisinau,2003,,,,,,8.3,8.3,4.9,,,,,,,10.2,7.9,
01,Mun. Chisinau,2004,,,,,,9.6,8.1,5.0,,,,,,,8.6,7.7,1.5
01,Mun. Chisinau,2005,,,,,,9.2,8.7,4.8,,9582.7,14946.6,270.0,,,9.7,8.7,0.5
01,Mun. Chisinau,2006,,,,,,9.3,8.2,3.9,,9536.4,14865.4,267.0,,,10.9,9.0,1.1
01,Mun. Chisinau,2007,,,,,,9.3,8.4,4.2,,9725.5,15272.9,270.3,,,7.7,9.7,0.9
01,Mun. Chisinau,2008,,,,,,10.0,8.1,3.9,,9976.5,15806.5,275.8,15123.1,53.0,9.4,8.6,1.9
01,Mun. Chisinau,2009,,,,,,10.1,8.1,3.8,,10153.6,16192.2,279.7,13027.1,57.5,10.6,8.8,2.0
01,Mun. Chisinau,2010,,,,,,10.1,8.1,3.8,,10439.1,16621.5,282.2,16171.6,57.5,8.7,8.9,2.0
01,Mun. Chisinau,2011,,,,,,9.9,7.6,3.5,,10690.7,17088.7,286.2,20142.8,58.9,8.5,8.8,2.3
01,Mun. Chisinau,2012,,,,,,9.8,7.7,3.2,,10813.5,17337.1,288.8,21506.9,59.1,6.8,7.9,2.1
01,Mun. Chisinau,2013,,,,,,9.0,7.5,3.0,,11036.5,17792.6,293.8,22805.3,57.9,10.1,7.7,1.5
01,Mun. Chisinau,2014,,,,,,12.6,9.3,3.4,,11315.9,18111.2,293.1,24592.4,56.5,6.6,9.6,3.2
01,Mun. Chisinau,2015,3887.3,4865.9,5097.1,7055.7,5375.3,12.3,9.6,4.2,18671.6,11512.9,18499.2,297.5,26115.0,57.2,9.1,9.5,2.7
01,Mun. Chisinau,2016,4018.1,5093.2,5573.3,7688.5,5951.5,12.7,9.5,4.2,20493.2,11442.3,19771.5,283.4,26303.1,55.3,8.2,8.4,3.2
01,Mun. Chisinau,2017,4253.0,5685.5,6226.6,9788.6,6716.4,11.7,9.2,3.7,23138.4,11640.4,20078.8,292.9,28622.6,54.3,7.4,8.3,2.5
01,Mun. Chisinau,2018,4860.7,6558.6,6996.2,11459.4,7490.0,11.6,9.6,4.1,26541.8,11881.5,20426.0,297.7,30400.5,54.1,7.8,7.9,2.0
01,Mun. Chisinau,2019,5405.6,7922.3,7885.8,11945.3,8686.4,11.4,9.2,4.1,31500.7,15583.0,21019.4,305.7,30095.6,50.7,6.4,7.7,2.2
01,Mun. Chisinau,2020,5824.9,8669.5,8293.1,12609.3,9561.3,11.0,11.7,3.5,32948.8,15930.3,21499.3,311.9,30831.0,51.7,5.3,5.9,-0.7
01,Mun. Chisinau,2021,6748.9,9167.5,8971.7,13551.0,10965.0,10.5,13.7,3.7,39375.3,16304.9,22145.5,319.9,36345.8,51.5,7.0,7.5,-3.2
01,Mun. Chisinau,2022,7760.0,10392.7,10271.8,15198.8,12825.4,10.2,9.9,3.6,46776.5,16522.6,22437.8,323.1,43366.1,50.7,6.0,7.0,0.3
01,Mun. Chisinau,2023,9875.5,12271.4,11841.0,17701.4,14884.3,9.0,9.2,3.8,55741.3,16844.0,22900.1,329.0,46295.7,52.9,5.8,6.0,-0.1
01,Mun. Chisinau,2024,12135.5,13636.6,13566.3,19810.4,16955.1,9.3,9.6,3.7,64785.7,17055.9,23332.1,333.5,45690.8,53.2,17.2,6.1,-0.3
03,Mun. Balti,2003,,,,,,8.1,10.1,4.7,,,,,,,14.1,6.2,-2.0
03,Mun. Balti,2004,,,,,,9.6,10.0,4.4,,,,,,,18.0,6.2,-0.4
03,Mun. Balti,2005,,,,,,9.2,10.3,4.7,,1676.8,2526.3,51.0,,,14.4,6.8,-1.1
03,Mun. Balti,2006,,,,,,9.2,10.3,4.4,,1677.8,2535.4,51.2,,,8.1,7.1,-1.1
03,Mun. Balti,2007,,,,,,9.5,10.2,4.0,,1688.6,2561.1,51.5,,,7.1,7.6,-0.7
03,Mun. Balti,2008,,,,,,9.9,10.5,3.9,,1689.0,2561.5,51.5,3930.1,13.8,11.7,7.7,-0.6
03,Mun. Balti,2009,,,,,,10.2,9.9,3.7,,1692.0,2569.3,51.6,2669.0,11.8,8.6,7.5,0.3
03,Mun. Balti,2010,,,,,,10.6,9.7,3.5,,1588.4,2436.0,49.9,3042.8,10.8,8.3,7.3,0.9
03,Mun. Balti,2011,,,,,,10.1,9.3,3.2,,1595.9,2450.1,50.1,3456.8,10.1,8.6,7.4,0.8
03,Mun. Balti,2012,,,,,,10.2,9.1,3.3,,1600.3,2462.8,50.4,3774.8,10.4,7.3,6.9,1.1
03,Mun. Balti,2013,,,,,,9.7,9.1,3.3,,1606.0,2471.5,50.5,3201.5,8.1,9.5,7.2,0.6
03,Mun. Balti,2014,,,,,,14.5,13.2,4.2,,1612.2,2484.2,50.6,4203.5,9.6,11.6,10.6,1.3
03,Mun. Balti,2015,3673.0,4261.2,5681.3,5632.9,4728.4,14.4,13.4,5.4,2020.3,1615.6,2488.7,50.7,4912.0,10.7,8.3,10.4,0.9
03,Mun. Balti,2016,3542.8,4394.7,6118.7,6099.5,5166.7,14.6,12.8,4.7,2105.2,1865.0,3129.6,47.9,5678.5,11.9,10.2,8.6,1.8
03,Mun. Balti,2017,4295.7,4915.0,6767.2,7571.5,5613.1,12.7,13.2,4.7,2556.0,1868.8,3133.5,47.8,5757.0,10.9,11.8,8.0,-0.5
03,Mun. Balti,2018,3937.4,5568.2,7482.8,8359.8,6344.4,12.8,12.7,5.4,3045.0,1873.6,3144.3,47.9,6916.9,12.3,7.1,7.8,0.1
03,Mun. Balti,2019,4521.5,6810.1,7626.9,8890.9,6863.2,12.1,13.0,4.9,3399.6,1882.3,3154.9,48.0,7727.6,13.0,5.9,7.4,-0.9
03,Mun. Balti,2020,5019.5,7578.9,8296.6,9959.7,7618.3,11.3,15.2,4.2,3527.9,1889.0,3167.6,48.2,8421.1,14.1,6.3,6.2,-3.9
03,Mun. Balti,2021,5543.2,8151.5,8918.3,9501.6,8363.4,11.4,19.4,5.1,3971.5,1895.9,3176.3,48.2,9659.6,13.7,5.4,8.1,-8.0
03,Mun. Balti,2022,6731.3,8984.0,10596.2,11255.3,9589.6,11.3,14.1,4.9,4509.2,1914.7,3195.0,48.5,13103.0,15.3,12.2,7.4,-2.9
03,Mun. Balti,2023,8327.1,10624.7,11796.3,12895.9,10908.9,9.9,13.1,5.1,4882.8,1933.1,3220.5,48.8,12011.4,13.7,6.6,6.9,-3.1
03,Mun. Balti,2024,10390.9,12268.1,13187.9,14866.5,12496.8,10.4,13.5,5.3,5594.6,1942.5,3240.5,49.0,9931.0,11.6,7.7,6.6,-3.0
10,Anenii Noi,2003,,,,,,10.5,12.1,5.0,,,,,,,16.8,9.3,-1.6
10,Anenii Noi,2004,,,,,,10.0,11.6,5.5,,,,,,,15.5,9.5,-1.6
10,Anenii Noi,2005,,,,,,11.2,12.9,4.7,,1367.3,1924.9,29.1,,,7.8,10.0,-1.7
10,Anenii Noi,2006,,,,,,10.6,12.7,4.3,,1371.4,1931.2,29.2,,,16.8,9.1,-2.1
10,Anenii Noi,2007,,,,,,11.0,11.7,5.2,,1374.2,1935.9,29.3,,,13.3,10.6,-0.7
10,Anenii Noi,2008,,,,,,11.9,12.1,5.5,,1380.2,1945.5,29.3,450.8,1.6,12.3,8.6,-0.2
10,Anenii Noi,2009,,,,,,12.2,12.1,4.9,,1381.1,1947.4,29.3,364.2,1.6,12.9,9.5,0.1
10,Anenii Noi,2010,,,,,,11.9,12.3,4.3,,1385.6,1966.5,29.8,439.1,1.6,10.1,8.5,-0.4
10,Anenii Noi,2011,,,,,,11.2,11.4,3.0,,1389.1,1972.6,29.9,1115.7,3.3,12.7,8.3,-0.2
10,Anenii Noi,2012,,,,,,11.4,10.6,4.9,,1393.3,1980.5,30.0,645.4,1.8,9.5,8.5,0.8
10,Anenii Noi,2013,,,,,,10.8,10.4,5.5,,1395.8,1986.3,30.0,865.8,2.2,7.7,8.7,0.4
10,Anenii Noi,2014,,,,,,14.2,11.9,4.9,,1399.2,1992.3,30.1,1089.8,2.5,7.8,10.1,2.3
10,Anenii Noi,2015,3594.0,3216.9,3575.6,5329.2,3597.2,14.3,13.0,7.7,495.0,1401.5,1996.9,30.1,1113.1,2.4,2.0,10.7,1.3
10,Anenii Noi,2016,4148.1,3437.7,3931.4,5560.2,3935.6,14.1,12.8,8.6,522.6,1481.3,2094.4,29.4,1216.1,2.6,7.1,9.4,1.3
10,Anenii Noi,2017,4650.4,3937.0,4480.1,6142.4,4393.8,12.3,12.1,6.9,645.8,1481.9,2095.9,29.4,1484.9,2.8,7.1,10.2,0.2
10,Anenii Noi,2018,5181.8,4707.0,5417.6,8241.2,5332.3,11.7,13.1,6.6,698.8,1484.1,2099.9,29.4,1568.4,2.8,7.6,10.6,-1.4
10,Anenii Noi,2019,5780.1,5946.2,6443.3,8933.2,6176.6,11.6,13.5,9.0,787.3,1489.1,2103.9,29.5,1718.3,2.9,6.6,11.2,-1.9
10,Anenii Noi,2020,6604.2,6479.8,6713.7,9451.6,6732.0,11.0,15.1,6.6,868.2,1493.6,2110.8,29.5,1699.1,2.8,11.4,8.1,-4.1
10,Anenii Noi,2021,7725.7,7032.6,7042.4,8195.5,7119.7,11.6,18.6,8.0,905.4,1495.7,2113.5,29.5,1890.5,2.7,15.2,11.4,-7.1
10,Anenii Noi,2022,8883.3,7831.3,8032.5,10049.7,8292.6,10.0,13.9,8.5,1043.8,1498.0,2116.9,29.5,2505.2,2.9,8.2,11.3,-3.8
10,Anenii Noi,2023,9309.5,9342.3,9666.7,10947.6,9722.8,9.1,13.0,9.6,1269.1,1499.7,2119.3,29.5,2673.3,3.1,11.2,11.6,-3.9
10,Anenii Noi,2024,11005.1,10796.4,12234.4,13050.8,11522.4,9.5,13.0,9.7,1503.8,1501.7,2122.8,29.6,2765.5,3.2,7.4,9.5,-3.5
12,Basarabeasca,2003,,,,,,9.9,13.8,4.9,,,,,,,17.0,6.6,-3.9
12,Basarabeasca,2004,,,,,,9.9,11.7,4.4,,,,,,,10.2,7.1,-1.8
12,Basarabeasca,2005,,,,,,9.9,13.0,3.9,,354.1,571.1,10.8,,,20.4,6.6,-3.1
12,Basarabeasca,2006,,,,,,10.1,14.0,3.9,,354.6,571.5,10.8,,,16.7,6.8,-3.9
12,Basarabeasca,2007,,,,,,10.8,13.1,3.5,,356.5,573.9,10.8,,,15.9,6.4,-2.3
12,Basarabeasca,2008,,,,,,10.0,11.4,4.1,,357.5,575.4,10.8,65.9,0.2,10.2,5.9,-1.4
12,Basarabeasca,2009,,,,,,9.4,13.5,3.7,,359.0,577.2,10.8,12.8,0.1,21.5,5.6,-4.1
12,Basarabeasca,2010,,,,,,8.2,13.3,3.7,,359.5,577.9,10.9,33.8,0.1,8.3,6.2,-5.1
12,Basarabeasca,2011,,,,,,9.2,11.4,3.4,,359.8,578.3,11.0,43.8,0.1,3.8,6.3,-2.2
12,Basarabeasca,2012,,,,,,9.2,12.3,2.7,,360.0,578.4,10.9,40.3,0.1,22.6,5.9,-3.1
12,Basarabeasca,2013,,,,,,8.3,11.8,3.1,,360.1,578.6,10.9,62.4,0.2,20.5,5.6,-3.5
12,Basarabeasca,2014,,,,,,12.8,14.6,5.1,,361.1,580.0,10.9,47.1,0.1,11.8,8.1,-1.8
12,Basarabeasca,2015,2167.2,3411.7,3558.2,4883.2,3501.4,13.8,18.3,4.6,192.0,361.0,579.7,10.9,89.9,0.2,18.5,7.1,-4.5
12,Basarabeasca,2016,2192.7,3555.3,4229.1,5090.3,3845.2,12.4,17.1,3.5,172.0,434.6,673.4,10.4,86.0,0.2,4.2,7.0,-4.7
12,Basarabeasca,2017,2772.4,3891.5,4201.7,5266.8,4154.0,13.5,16.1,3.5,184.6,435.1,674.2,10.4,78.6,0.1,19.8,7.0,-2.6
12,Basarabeasca,2018,3415.5,4457.8,4704.1,5639.2,4343.0,13.2,14.5,1.2,213.9,435.8,675.7,10.4,82.2,0.2,8.3,7.2,-1.3
12,Basarabeasca,2019,3803.2,5608.4,5317.9,6281.9,4986.7,12.3,15.5,1.4,226.6,435.1,674.5,10.4,79.6,0.1,,7.9,-3.2
12,Basarabeasca,2020,3784.5,6309.8,6013.7,7305.2,5412.5,11.6,19.3,1.0,234.6,436.3,676.2,10.4,86.3,0.1,15.1,5.4,-7.6
12,Basarabeasca,2021,4880.2,6555.2,6013.3,7480.7,5918.2,10.8,21.0,1.3,256.2,436.9,677.5,10.4,73.4,0.1,11.1,8.0,-10.2
12,Basarabeasca,2022,5511.1,7463.1,6687.0,9068.0,7350.8,11.2,18.2,1.3,311.9,437.6,678.6,10.4,79.7,0.1,5.5,7.0,-7.1
12,Basarabeasca,2023,6530.9,8782.5,11430.1,10334.0,9220.2,8.6,15.0,1.5,405.2,438.1,679.2,10.4,78.5,0.1,,6.3,-6.4
12,Basarabeasca,2024,7958.4,10168.0,13849.5,12521.9,10489.6,8.7,15.7,1.1,429.4,438.5,679.4,10.4,83.9,0.1,,5.3,-7.0
14,Briceni,2003,,,,,,9.5,16.9,3.2,,,,,,,16.2,6.9,-7.4
14,Briceni,2004,,,,,,9.7,15.4,3.4,,,,,,,10.7,6.2,-5.7
14,Briceni,2005,,,,,,9.7,16.9,3.8,,1247.3,1830.4,33.4,,,13.3,6.9,-7.2
14,Briceni,2006,,,,,,9.9,17.0,2.9,,1259.5,1832.1,33.4,,,15.7,7.3,-7.1
14,Briceni,2007,,,,,,9.8,16.0,3.1,,1259.5,1832.8,33.5,,,14.6,7.5,-6.2
14,Briceni,2008,,,,,,10.1,15.8,2.6,,1250.1,1820.2,33.3,55.8,0.2,11.8,6.5,-5.7
14,Briceni,2009,,,,,,10.1,15.4,3.2,,1249.9,1820.0,33.3,35.4,0.1,13.1,6.3,-5.3
14,Briceni,2010,,,,,,10.6,15.9,2.2,,1251.2,1823.7,33.2,38.3,0.1,13.9,6.7,-5.3
14,Briceni,2011,,,,,,9.5,15.7,2.5,,1255.0,1829.0,33.3,57.7,0.2,9.7,6.0,-6.2
14,Briceni,2012,,,,,,9.9,14.7,3.2,,1255.9,1830.9,33.3,66.4,0.2,6.9,6.1,-4.8
14,Briceni,2013,,,,,,9.0,15.1,2.9,,1256.7,1833.5,33.3,80.4,0.2,10.5,6.2,-6.1
14,Briceni,2014,,,,,,10.3,17.2,3.2,,1257.8,1836.7,33.3,108.1,0.3,8.8,7.0,-6.8
14,Briceni,2015,2366.2,3058.2,4215.6,4934.7,3296.1,11.0,17.1,3.0,282.3,1259.9,1840.5,33.3,99.9,0.2,7.1,7.6,-6.1
14,Briceni,2016,2573.8,3140.8,4718.6,4657.3,3464.4,10.9,16.5,3.6,289.5,1317.3,1936.6,33.4,91.1,0.2,2.9,6.3,-5.6
14,Briceni,2017,3114.4,3882.9,5386.6,5019.7,4131.8,10.5,17.0,2.9,325.0,1316.9,1936.1,33.4,108.0,0.2,14.1,5.6,-6.6
14,Briceni,2018,3230.2,4610.3,5776.9,5696.7,4654.5,10.2,16.8,3.2,373.2,1322.7,1943.7,33.4,115.6,0.2,10.0,5.8,-6.6
14,Briceni,2019,3688.6,5007.4,6394.9,6156.9,5078.3,9.8,17.5,3.2,453.2,1326.2,1949.0,33.5,159.1,0.3,8.9,7.0,-7.7
14,Briceni,2020,4073.9,5566.6,7737.1,7014.2,5707.7,8.8,20.3,2.5,473.8,1332.3,1957.9,33.5,139.7,0.2,16.1,5.0,-11.5
14,Briceni,2021,4154.9,5857.8,7681.5,7573.1,6129.9,9.8,22.7,3.0,543.9,1334.2,1960.8,33.5,116.9,0.2,7.5,7.8,-12.9
14,Briceni,2022,4627.4,6869.6,8220.0,8794.1,6811.0,8.5,19.3,3.0,607.4,1335.3,1962.7,33.4,128.6,0.2,6.7,6.3,-10.8
14,Briceni,2023,5739.0,7626.1,9413.4,10129.9,8049.9,7.9,18.3,3.4,658.4,1335.2,1963.0,33.4,237.3,0.3,2.6,5.9,-10.4
14,Briceni,2024,6357.4,9289.4,11550.1,12912.4,9433.1,8.9,18.4,3.3,816.8,1335.6,1964.3,33.4,252.6,0.3,9.5,6.2,-9.5
17,Cahul,2003,,,,,,10.9,11.3,3.9,,,,,,,17.5,6.7,-0.4
17,Cahul,2004,,,,,,10.7,10.3,3.8,,,,,,,13.3,6.5,0.4
17,Cahul,2005,,,,,,11.0,10.8,3.4,,1677.2,2501.4,39.6,,,13.9,7.0,0.2
17,Cahul,2006,,,,,,10.9,11.4,3.8,,1678.0,2503.0,39.6,,,13.2,7.1,-0.5
17,Cahul,2007,,,,,,10.7,10.9,3.2,,1723.0,2583.3,39.8,,,12.7,7.3,-0.2
17,Cahul,2008,,,,,,11.2,10.5,2.7,,1724.4,2585.7,39.8,415.2,1.5,8.1,7.3,0.7
17,Cahul,2009,,,,,,10.6,11.3,2.6,,1729.9,2594.5,39.8,335.1,1.5,17.3,6.4,-0.7
17,Cahul,2010,,,,,,12.2,11.8,2.8,,1724.8,2598.7,39.4,351.2,1.2,10.4,6.8,0.5
17,Cahul,2011,,,,,,10.6,10.0,2.9,,1728.4,2604.8,39.1,357.1,1.0,6.5,6.3,0.6
17,Cahul,2012,,,,,,11.1,10.0,2.5,,1728.5,2606.8,39.4,362.3,1.0,11.7,5.8,1.1
17,Cahul,2013,,,,,,11.4,10.1,2.3,,1728.9,2610.3,39.4,415.8,1.1,9.2,6.3,1.3
17,Cahul,2014,,,,,,14.0,13.7,3.6,,1732.1,2615.9,39.5,423.7,1.0,5.9,8.6,0.3
17,Cahul,2015,2978.3,3650.1,3879.5,5089.2,3855.6,14.7,13.1,3.1,747.6,1737.9,2623.9,39.6,460.0,1.0,5.0,7.6,1.6
17,Cahul,2016,3300.3,3865.3,4363.6,5406.8,4238.8,13.6,13.2,3.6,830.1,1948.7,2905.5,38.5,491.2,1.0,7.1,7.0,0.4
17,Cahul,2017,3809.0,4236.2,4840.6,6732.7,4728.1,13.6,12.9,2.8,937.2,1954.9,2915.2,38.6,542.2,1.0,4.1,6.8,0.7
17,Cahul,2018,4223.3,4891.0,5453.1,7730.0,5310.0,12.4,14.1,3.9,1060.5,1956.9,2919.7,38.6,528.3,0.9,8.2,7.5,-1.7
17,Cahul,2019,4760.5,5980.7,6070.7,8492.0,6075.5,11.7,13.7,4.1,1219.6,1964.7,2931.1,38.8,562.7,1.0,9.0,7.7,-2.0
17,Cahul,2020,5048.9,6664.8,6657.5,9225.8,6750.6,11.3,15.8,3.4,1299.2,1970.3,2940.0,38.8,625.0,1.1,11.5,5.5,-4.4
17,Cahul,2021,5415.8,7149.8,7308.9,8537.5,7424.1,10.8,17.4,4.0,1429.9,1980.8,2956.3,39.0,583.1,0.8,6.7,7.6,-6.5
17,Cahul,2022,6753.3,7877.5,9262.4,10091.9,8725.7,10.3,15.2,3.4,1668.3,1990.1,2969.3,39.1,744.0,0.9,7.3,6.9,-4.9
17,Cahul,2023,7928.0,9588.8,11290.3,12081.3,10450.0,10.2,15.2,3.7,2122.3,1994.6,2976.6,39.2,846.7,1.0,12.9,6.4,-5.0
17,Cahul,2024,8469.3,10828.0,11955.1,14490.7,11742.9,9.3,14.2,3.7,2378.1,2002.1,2985.4,39.3,959.3,1.1,8.7,6.1,-4.9
21,Cantemir,2003,,,,,,11.9,11.3,3.3,,,,,,,20.7,6.3,0.6
21,Cantemir,2004,,,,,,12.0,10.0,3.7,,,,,,,20.7,7.3,2.0
21,Cantemir,2005,,,,,,12.7,10.7,2.5,,1075.9,1441.8,19.0,,,12.4,7.6,2.0
21,Cantemir,2006,,,,,,11.9,11.2,3.6,,1077.8,1444.5,19.0,,,7.9,6.7,0.7
21,Cantemir,2007,,,,,,11.8,11.5,3.5,,1079.8,1447.0,19.0,,,9.4,8.3,0.3
21,Cantemir,2008,,,,,,11.7,11.7,3.7,,1081.4,1449.2,19.0,80.4,0.3,16.1,6.5,
21,Cantemir,2009,,,,,,12.8,12.1,2.8,,1081.6,1449.3,19.0,82.1,0.4,10.0,6.3,0.7
21,Cantemir,2010,,,,,,12.4,13.4,2.8,,1082.9,1451.6,18.3,85.9,0.3,14.1,6.6,-1.1
21,Cantemir,2011,,,,,,10.9,10.8,2.9,,1083.6,1452.7,18.3,78.2,0.2,8.6,6.2,0.1
21,Cantemir,2012,,,,,,13.1,11.2,2.3,,1084.7,1454.5,18.4,107.4,0.3,14.9,6.0,1.9
21,Cantemir,2013,,,,,,12.1,10.6,3.1,,1086.9,1459.0,18.4,272.9,0.7,9.1,5.9,1.5
21,Cantemir,2014,,,,,,16.8,14.9,3.4,,1087.6,1460.2,18.4,221.0,0.5,17.9,9.0,2.0
21,Cantemir,2015,2785.2,3341.9,3435.9,4480.6,3252.8,17.1,14.5,3.7,209.0,1088.2,1461.1,18.4,284.1,0.6,3.8,8.8,2.7
21,Cantemir,2016,2953.4,3530.0,3750.6,4837.6,3565.8,16.4,14.8,3.7,245.2,1123.3,1511.6,19.4,291.2,0.6,16.4,8.4,1.6
21,Cantemir,2017,3407.3,3855.1,4252.0,4838.1,4009.3,15.1,15.3,2.7,257.9,1125.4,1516.4,19.5,361.0,0.7,13.8,7.7,-0.2
21,Cantemir,2018,4779.7,4395.8,4682.2,5420.5,4712.1,14.1,14.5,2.2,299.2,1126.2,1517.8,19.5,349.6,0.6,6.9,7.9,-0.4
21,Cantemir,2019,4847.5,5411.9,5391.8,6167.1,5384.9,14.5,15.5,2.6,327.9,1124.7,1515.3,19.4,349.0,0.6,12.1,8.3,-0.9
21,Cantemir,2020,5241.5,6144.2,5902.8,6923.3,6139.0,13.7,16.0,2.5,363.6,1126.0,1517.3,19.4,352.5,0.6,18.8,6.2,-2.3
21,Cantemir,2021,6376.2,6548.3,6257.1,7359.5,6901.2,12.5,19.4,2.8,411.4,1126.6,1518.3,19.4,98.9,0.1,12.7,9.0,-6.9
21,Cantemir,2022,6888.0,7253.6,6491.2,8220.1,7520.6,11.1,14.6,3.1,444.4,1127.1,1519.0,19.4,100.4,0.1,17.4,7.4,-3.5
21,Cantemir,2023,7918.4,8979.5,7226.0,9709.2,9047.7,11.6,15.8,2.1,505.9,1127.7,1519.9,19.4,119.9,0.1,19.7,7.1,-4.1
21,Cantemir,2024,9392.7,10184.9,8861.5,11450.9,10428.7,11.3,16.1,3.1,563.6,1127.9,1520.2,19.4,103.9,0.1,2.6,6.3,-4.8
25,Calarasi,2003,,,,,,10.3,13.1,2.8,,,,,,,15.7,6.3,-2.8
25,Calarasi,2004,,,,,,10.3,14.1,3.4,,,,,,,9.6,6.2,-3.8
25,Calarasi,2005,,,,,,11.3,15.3,3.4,,1239.4,1646.1,28.9,,,20.3,6.8,-4.0
25,Calarasi,2006,,,,,,10.7,14.0,2.9,,1240.3,1648.0,28.9,,,12.7,6.9,-3.3
25,Calarasi,2007,,,,,,11.0,14.9,3.0,,1242.0,1651.4,28.9,,,6.9,7.5,-3.9
25,Calarasi,2008,,,,,,10.0,13.3,3.1,,1243.6,1653.8,28.9,229.4,0.8,10.0,6.8,-3.3
25,Calarasi,2009,,,,,,12.4,14.3,3.1,,1246.1,1657.6,29.0,212.5,0.9,18.0,7.0,-1.9
25,Calarasi,2010,,,,,,11.7,14.9,3.3,,1248.1,1661.6,29.1,272.2,1.0,14.8,7.2,-3.1
25,Calarasi,2011,,,,,,11.3,12.2,2.9,,1250.7,1665.3,29.1,269.7,0.8,9.0,6.9,-0.9
25,Calarasi,2012,,,,,,11.1,12.8,3.4,,1253.8,1669.7,29.2,325.6,0.9,6.9,6.7,-1.7
25,Calarasi,2013,,,,,,11.5,12.2,2.9,,1256.3,1673.6,29.2,239.4,0.6,8.9,6.9,-0.8
25,Calarasi,2014,,,,,,16.3,17.5,3.9,,1261.2,1681.9,29.3,280.4,0.7,9.4,9.1,-1.2
25,Calarasi,2015,3682.1,3347.8,3990.6,4309.0,3800.2,17.5,17.4,4.2,312.2,1263.6,1686.3,29.3,287.7,0.6,14.8,8.7,0.2
25,Calarasi,2016,3867.0,3628.4,4258.4,4439.5,4111.9,16.0,16.2,3.8,319.3,1365.5,1822.6,29.5,283.6,0.6,8.9,8.9,-0.2
25,Calarasi,2017,4027.9,3994.7,4753.9,4586.2,4464.6,15.3,16.6,4.6,343.6,1369.8,1831.1,28.9,293.3,0.6,14.5,8.3,-1.4
25,Calarasi,2018,4325.1,4530.5,5000.6,4922.5,4733.4,15.2,17.2,4.4,398.1,1372.5,1836.2,28.3,303.9,0.5,7.5,8.4,-1.9
25,Calarasi,2019,4648.5,5769.9,5685.9,5943.1,5699.1,14.1,17.6,4.2,436.6,1374.5,1839.8,28.4,313.0,0.5,2.8,8.0,-3.5
25,Calarasi,2020,5041.5,6322.6,5933.4,6509.3,6172.1,12.5,18.5,3.0,463.3,1376.7,1843.1,28.4,292.1,0.5,11.2,6.2,-6.0
25,Calarasi,2021,5474.8,6521.5,6747.0,7008.0,6765.6,12.6,19.2,4.6,527.7,1379.0,1846.3,28.4,367.4,0.5,4.9,8.2,-6.6
25,Calarasi,2022,6750.8,7268.9,7735.4,8235.6,7739.1,12.2,17.4,4.0,585.8,1396.3,1870.5,28.5,400.6,0.5,7.0,7.3,-5.2
25,Calarasi,2023,8840.5,8915.1,9278.6,9533.3,9345.9,10.7,15.7,4.2,680.1,1396.2,1870.3,28.5,454.3,0.5,10.2,6.5,-5.0
25,Calarasi,2024,9532.0,10254.1,10997.6,11167.9,10770.1,10.8,17.4,3.7,814.8,1397.5,1871.9,28.5,504.7,0.6,12.4,6.0,-6.6
27,Causeni,2003,,,,,,11.5,13.2,3.3,,,,,,,11.4,7.2,-1.7
27,Causeni,2004,,,,,,12.5,12.8,3.4,,,,,,,14.8,6.7,-0.3
27,Causeni,2005,,,,,,11.3,13.5,3.6,,1427.9,2177.9,32.9,,,6.5,6.9,-2.2
27,Causeni,2006,,,,,,11.3,13.0,3.4,,1430.3,2181.8,33.0,,,10.4,6.5,-1.7
27,Causeni,2007,,,,,,11.4,13.9,3.3,,1434.3,2185.7,33.1,,,10.4,7.4,-2.5
27,Causeni,2008,,,,,,11.6,13.2,3.1,,1434.3,2185.7,33.1,144.7,0.5,9.3,6.7,-1.6
27,Causeni,2009,,,,,,11.7,12.4,3.0,,1413.9,2176.6,33.0,118.0,0.5,7.4,6.8,-0.7
27,Causeni,2010,,,,,,11.8,13.0,2.8,,1413.4,2174.8,33.0,163.3,0.6,10.1,7.1,-1.2
27,Causeni,2011,,,,,,11.3,11.3,2.7,,1406.9,2164.8,32.9,106.5,0.3,10.5,6.9,
27,Causeni,2012,,,,,,10.4,11.7,2.9,,1407.9,2166.9,32.9,104.2,0.3,11.6,6.0,-1.3
27,Causeni,2013,,,,,,11.0,11.2,2.8,,1395.6,2140.1,31.3,138.7,0.3,12.1,6.0,-0.2
27,Causeni,2014,,,,,,13.3,14.8,4.6,,1397.3,2142.6,31.3,155.3,0.3,14.0,8.1,-1.5
27,Causeni,2015,3041.2,3247.0,3370.0,4855.0,3475.9,13.5,14.0,3.6,383.1,1398.4,2144.1,31.3,167.6,0.4,6.0,7.8,-0.6
27,Causeni,2016,3558.4,3390.7,3998.2,5185.6,3865.6,13.8,13.7,3.4,408.4,1587.5,2378.0,30.8,184.9,0.4,8.8,7.2,0.1
27,Causeni,2017,3777.6,3658.1,4437.7,5239.2,4093.4,12.7,13.9,2.9,453.3,1592.5,2387.2,30.9,203.3,0.4,9.7,7.1,-1.2
